ticket_id,subject,description,channel,category,priority,created_at,customer_plan,sla_breached,escalated,support_sentiment
14,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,email,Login,Medium,2026-01-26 17:41:08,Enterprise,0,0,Frustrated
15,Getting invalid credentials error,Getting invalid credentials error. Really appreciate your quick help. This issue is impacting my work.,chat,Login,High,2026-02-08 18:41:08,Free,0,0,Appreciative
16,Account locked after multiple attempts,Account locked after multiple attempts. Please assist with this issue. This issue is impacting my work.,email,Login,Medium,2026-02-07 13:41:08,Enterprise,0,0,Calm
17,Account locked after multiple attempts,Account locked after multiple attempts. Thank you for your continued support. This issue is impacting my work.,chat,Login,High,2026-01-29 18:41:08,Enterprise,0,0,Appreciative
18,Getting invalid credentials error,Getting invalid credentials error. Thank you for your continued support. This issue is impacting my work.,web,Login,Medium,2026-01-20 02:41:08,Enterprise,0,0,Appreciative
19,Getting invalid credentials error,Getting invalid credentials error. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-02-12 11:41:08,Pro,0,0,Calm
20,Getting invalid credentials error,Getting invalid credentials error. Thank you for your continued support. This issue is impacting my work.,web,Login,Medium,2026-01-17 14:41:08,Pro,0,0,Appreciative
21,Password reset link not working,Password reset link not working. I have faced this issue multiple times. This issue is impacting my work.,web,Login,Medium,2026-01-15 10:41:08,Enterprise,0,0,Frustrated
22,Getting invalid credentials error,Getting invalid credentials error. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-02-06 09:41:08,Pro,0,0,Urgent
23,Password reset link not working,Password reset link not working. Thank you for your continued support. This issue is impacting my work.,web,Login,Medium,2026-01-18 08:41:08,Pro,0,0,Appreciative
24,Password reset link not working,Password reset link not working. Not satisfied with the delay. This issue is impacting my work.,web,Login,High,2026-02-04 18:41:08,Free,0,0,Frustrated
25,Account locked after multiple attempts,Account locked after multiple attempts. Not satisfied with the delay. This issue is impacting my work.,web,Login,Medium,2026-01-31 13:41:08,Pro,0,0,Frustrated
26,Getting invalid credentials error,Getting invalid credentials error. This is blocking critical work. This issue is impacting my work.,email,Login,High,2026-02-06 08:41:08,Free,0,0,Urgent
27,Getting invalid credentials error,Getting invalid credentials error. Kindly check and update. This issue is impacting my work.,web,Login,Medium,2026-02-13 08:41:08,Free,0,0,Calm
28,Unable to login with my account,Unable to login with my account. This is getting frustrating. This issue is impacting my work.,chat,Login,Medium,2026-01-28 03:41:08,Free,0,0,Frustrated
29,Getting invalid credentials error,Getting invalid credentials error. This needs immediate attention. This issue is impacting my work.,web,Login,Medium,2026-01-25 19:41:08,Enterprise,0,1,Urgent
30,Password reset link not working,Password reset link not working. Please resolve this urgently. This issue is impacting my work.,email,Login,Medium,2026-01-22 21:41:08,Free,0,0,Urgent
31,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,web,Login,High,2026-01-22 14:41:08,Free,0,0,Urgent
32,Unable to login with my account,Unable to login with my account. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-02-07 04:41:08,Free,0,0,Calm
33,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,chat,Login,Medium,2026-02-06 08:41:08,Pro,0,0,Frustrated
34,Account locked after multiple attempts,Account locked after multiple attempts. Thank you for your continued support. This issue is impacting my work.,web,Login,Medium,2026-01-18 10:41:08,Enterprise,0,0,Appreciative
35,Unable to login with my account,Unable to login with my account. This is getting frustrating. This issue is impacting my work.,chat,Login,High,2026-02-06 22:41:08,Pro,0,0,Frustrated
36,Unable to login with my account,Unable to login with my account. I have faced this issue multiple times. This issue is impacting my work.,chat,Login,Medium,2026-01-14 20:41:08,Pro,0,0,Frustrated
37,Getting invalid credentials error,Getting invalid credentials error. This is blocking critical work. This issue is impacting my work.,email,Login,High,2026-02-04 04:41:08,Free,0,0,Urgent
38,Unable to login with my account,Unable to login with my account. Great service so far. This issue is impacting my work.,web,Login,Medium,2026-02-12 09:41:08,Pro,0,0,Appreciative
39,Account locked after multiple attempts,Account locked after multiple attempts. Great service so far. This issue is impacting my work.,email,Login,Medium,2026-02-11 05:41:08,Enterprise,0,0,Appreciative
40,Unable to login with my account,Unable to login with my account. Thank you for your continued support. This issue is impacting my work.,chat,Login,Medium,2026-01-13 16:41:08,Free,0,0,Appreciative
41,Password reset link not working,Password reset link not working. Great service so far. This issue is impacting my work.,web,Login,Medium,2026-01-30 13:41:08,Free,0,0,Appreciative
42,Getting invalid credentials error,Getting invalid credentials error. This is completely unacceptable. This issue is impacting my work.,email,Login,High,2026-02-01 06:41:08,Pro,0,0,Angry
43,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,email,Login,Medium,2026-01-24 16:41:08,Pro,0,0,Urgent
44,Unable to login with my account,Unable to login with my account. Kindly check and update. This issue is impacting my work.,web,Login,Medium,2026-02-08 23:41:08,Pro,0,0,Calm
45,Unable to login with my account,Unable to login with my account. I have faced this issue multiple times. This issue is impacting my work.,email,Login,High,2026-01-17 17:41:08,Pro,0,0,Frustrated
46,Getting invalid credentials error,Getting invalid credentials error. Great service so far. This issue is impacting my work.,web,Login,Medium,2026-02-03 13:41:08,Enterprise,0,0,Appreciative
47,Unable to login with my account,Unable to login with my account. I have faced this issue multiple times. This issue is impacting my work.,email,Login,Medium,2026-01-27 06:41:08,Enterprise,0,0,Frustrated
48,Getting invalid credentials error,Getting invalid credentials error. This is very upsetting. This issue is impacting my work.,web,Login,Medium,2026-02-06 13:41:08,Pro,0,0,Angry
49,Getting invalid credentials error,Getting invalid credentials error. Really appreciate your quick help. This issue is impacting my work.,email,Login,High,2026-01-23 21:41:08,Free,0,0,Appreciative
50,Getting invalid credentials error,Getting invalid credentials error. Please assist with this issue. This issue is impacting my work.,email,Login,High,2026-02-05 05:41:08,Enterprise,0,0,Calm
51,Account locked after multiple attempts,Account locked after multiple attempts. Great service so far. This issue is impacting my work.,web,Login,High,2026-02-10 08:41:08,Free,0,0,Appreciative
52,Password reset link not working,Password reset link not working. Thank you for your continued support. This issue is impacting my work.,web,Login,High,2026-02-08 21:41:08,Enterprise,0,0,Appreciative
53,Password reset link not working,Password reset link not working. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-02-06 13:41:08,Pro,0,0,Calm
54,Password reset link not working,Password reset link not working. Looking forward to your response. This issue is impacting my work.,web,Login,High,2026-02-09 03:41:08,Enterprise,0,0,Calm
55,Password reset link not working,Password reset link not working. I have faced this issue multiple times. This issue is impacting my work.,email,Login,Medium,2026-01-15 00:41:08,Enterprise,0,0,Frustrated
56,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,web,Login,Medium,2026-02-01 09:41:08,Free,0,0,Frustrated
57,Account locked after multiple attempts,Account locked after multiple attempts. This is getting frustrating. This issue is impacting my work.,chat,Login,High,2026-01-18 03:41:08,Pro,0,0,Frustrated
58,Password reset link not working,Password reset link not working. Kindly check and update. This issue is impacting my work.,chat,Login,Medium,2026-02-05 08:41:08,Pro,0,0,Calm
59,Getting invalid credentials error,Getting invalid credentials error. This is very upsetting. This issue is impacting my work.,web,Login,High,2026-02-03 10:41:08,Enterprise,0,1,Angry
60,Unable to login with my account,Unable to login with my account. This is completely unacceptable. This issue is impacting my work.,email,Login,High,2026-01-24 21:41:08,Free,0,0,Angry
61,Getting invalid credentials error,Getting invalid credentials error. I am extremely disappointed. This issue is impacting my work.,chat,Login,Medium,2026-02-07 02:41:08,Enterprise,0,1,Angry
62,Unable to login with my account,Unable to login with my account. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-02-10 13:41:08,Pro,0,0,Urgent
63,Getting invalid credentials error,Getting invalid credentials error. Really appreciate your quick help. This issue is impacting my work.,web,Login,Medium,2026-01-28 01:41:08,Pro,0,0,Appreciative
64,Account locked after multiple attempts,Account locked after multiple attempts. I am extremely disappointed. This issue is impacting my work.,web,Login,High,2026-02-06 21:41:08,Free,0,0,Angry
65,Account locked after multiple attempts,Account locked after multiple attempts. Not satisfied with the delay. This issue is impacting my work.,chat,Login,High,2026-01-18 10:41:08,Enterprise,0,0,Frustrated
66,Getting invalid credentials error,Getting invalid credentials error. This is completely unacceptable. This issue is impacting my work.,web,Login,High,2026-01-24 00:41:08,Enterprise,0,1,Angry
67,Account locked after multiple attempts,Account locked after multiple attempts. Please resolve this urgently. This issue is impacting my work.,web,Login,Medium,2026-01-18 11:41:08,Pro,0,0,Urgent
68,Password reset link not working,Password reset link not working. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-01-23 01:41:08,Free,0,0,Calm
69,Password reset link not working,Password reset link not working. This is getting frustrating. This issue is impacting my work.,email,Login,Medium,2026-01-28 15:41:08,Free,0,0,Frustrated
70,Unable to login with my account,Unable to login with my account. Please resolve this urgently. This issue is impacting my work.,web,Login,Medium,2026-01-31 19:41:08,Enterprise,0,1,Urgent
71,Account locked after multiple attempts,Account locked after multiple attempts. This is getting frustrating. This issue is impacting my work.,email,Login,Medium,2026-02-06 05:41:08,Pro,0,0,Frustrated
72,Account locked after multiple attempts,Account locked after multiple attempts. Kindly check and update. This issue is impacting my work.,email,Login,Medium,2026-02-08 20:41:08,Pro,0,0,Calm
73,Getting invalid credentials error,Getting invalid credentials error. This is blocking critical work. This issue is impacting my work.,web,Login,High,2026-01-16 05:41:08,Pro,0,0,Urgent
74,Account locked after multiple attempts,Account locked after multiple attempts. Please resolve this urgently. This issue is impacting my work.,web,Login,Medium,2026-01-19 18:41:08,Pro,0,0,Urgent
75,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,email,Login,High,2026-02-04 03:41:08,Enterprise,0,0,Frustrated
76,Getting invalid credentials error,Getting invalid credentials error. I am extremely disappointed. This issue is impacting my work.,email,Login,Medium,2026-02-05 22:41:08,Free,0,0,Angry
77,Password reset link not working,Password reset link not working. This is getting frustrating. This issue is impacting my work.,chat,Login,High,2026-01-26 20:41:08,Pro,0,0,Frustrated
78,Account locked after multiple attempts,Account locked after multiple attempts. Please assist with this issue. This issue is impacting my work.,chat,Login,High,2026-01-13 12:41:08,Enterprise,0,0,Calm
79,Unable to login with my account,Unable to login with my account. Really appreciate your quick help. This issue is impacting my work.,email,Login,High,2026-02-03 22:41:08,Pro,0,0,Appreciative
80,Account locked after multiple attempts,Account locked after multiple attempts. Great service so far. This issue is impacting my work.,chat,Login,Medium,2026-02-04 21:41:08,Free,0,0,Appreciative
81,Account locked after multiple attempts,Account locked after multiple attempts. Looking forward to your response. This issue is impacting my work.,web,Login,High,2026-01-18 22:41:08,Enterprise,0,0,Calm
82,Password reset link not working,Password reset link not working. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-01-25 13:41:08,Enterprise,0,1,Urgent
83,Unable to login with my account,Unable to login with my account. Kindly check and update. This issue is impacting my work.,email,Login,High,2026-02-08 09:41:08,Pro,0,0,Calm
84,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,chat,Login,Medium,2026-02-02 22:41:08,Pro,0,0,Urgent
85,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,chat,Login,Medium,2026-01-20 17:41:08,Free,0,0,Urgent
86,Unable to login with my account,Unable to login with my account. This is completely unacceptable. This issue is impacting my work.,web,Login,Medium,2026-01-20 10:41:08,Free,0,0,Angry
87,Password reset link not working,Password reset link not working. This is getting frustrating. This issue is impacting my work.,email,Login,Medium,2026-01-28 13:41:08,Free,0,0,Frustrated
88,Unable to login with my account,Unable to login with my account. Thank you for your continued support. This issue is impacting my work.,web,Login,High,2026-01-19 23:41:08,Pro,0,0,Appreciative
89,Password reset link not working,Password reset link not working. Great service so far. This issue is impacting my work.,email,Login,Medium,2026-02-09 16:41:08,Pro,0,0,Appreciative
90,Unable to login with my account,Unable to login with my account. This is very upsetting. This issue is impacting my work.,chat,Login,High,2026-02-07 08:41:08,Enterprise,0,1,Angry
91,Password reset link not working,Password reset link not working. Kindly check and update. This issue is impacting my work.,web,Login,High,2026-01-19 07:41:08,Enterprise,0,0,Calm
92,Unable to login with my account,Unable to login with my account. This is very upsetting. This issue is impacting my work.,web,Login,High,2026-02-10 18:41:08,Pro,0,0,Angry
93,Getting invalid credentials error,Getting invalid credentials error. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-01-13 23:41:08,Pro,0,0,Calm
94,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,web,Login,Medium,2026-01-13 14:41:08,Enterprise,0,0,Frustrated
95,Getting invalid credentials error,Getting invalid credentials error. Great service so far. This issue is impacting my work.,chat,Login,High,2026-01-17 11:41:08,Pro,0,0,Appreciative
96,Getting invalid credentials error,Getting invalid credentials error. This is completely unacceptable. This issue is impacting my work.,chat,Login,Medium,2026-02-05 20:41:08,Pro,0,0,Angry
97,Account locked after multiple attempts,Account locked after multiple attempts. This is completely unacceptable. This issue is impacting my work.,chat,Login,High,2026-01-29 04:41:08,Free,0,0,Angry
98,Getting invalid credentials error,Getting invalid credentials error. I am extremely disappointed. This issue is impacting my work.,web,Login,High,2026-01-16 02:41:08,Enterprise,0,1,Angry
99,Unable to login with my account,Unable to login with my account. Thank you for your continued support. This issue is impacting my work.,email,Login,Medium,2026-01-30 19:41:08,Enterprise,0,0,Appreciative
100,Password reset link not working,Password reset link not working. This is blocking critical work. This issue is impacting my work.,chat,Login,High,2026-02-11 01:41:08,Free,0,0,Urgent
101,Password reset link not working,Password reset link not working. This is blocking critical work. This issue is impacting my work.,chat,Login,Medium,2026-01-25 23:41:08,Enterprise,0,1,Urgent
102,Account locked after multiple attempts,Account locked after multiple attempts. Great service so far. This issue is impacting my work.,chat,Login,High,2026-01-27 00:41:08,Enterprise,0,0,Appreciative
103,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,chat,Login,High,2026-02-09 11:41:08,Free,0,0,Urgent
104,Password reset link not working,Password reset link not working. This is completely unacceptable. This issue is impacting my work.,email,Login,Medium,2026-01-20 19:41:08,Free,0,0,Angry
105,Getting invalid credentials error,Getting invalid credentials error. Great service so far. This issue is impacting my work.,email,Login,High,2026-02-04 03:41:08,Free,0,0,Appreciative
106,Getting invalid credentials error,Getting invalid credentials error. I have faced this issue multiple times. This issue is impacting my work.,web,Login,Medium,2026-02-09 02:41:08,Enterprise,0,0,Frustrated
107,Unable to login with my account,Unable to login with my account. Kindly check and update. This issue is impacting my work.,web,Login,High,2026-01-23 19:41:08,Free,0,0,Calm
108,Unable to login with my account,Unable to login with my account. Kindly check and update. This issue is impacting my work.,chat,Login,High,2026-01-30 00:41:08,Pro,0,0,Calm
109,Password reset link not working,Password reset link not working. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-01-31 19:41:08,Free,0,0,Calm
110,Unable to login with my account,Unable to login with my account. Great service so far. This issue is impacting my work.,email,Login,Medium,2026-01-18 16:41:08,Free,0,0,Appreciative
111,Getting invalid credentials error,Getting invalid credentials error. Please assist with this issue. This issue is impacting my work.,web,Login,Medium,2026-01-24 15:41:08,Pro,0,0,Calm
112,Password reset link not working,Password reset link not working. Really appreciate your quick help. This issue is impacting my work.,chat,Login,High,2026-01-16 16:41:08,Pro,0,0,Appreciative
113,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,web,Login,Medium,2026-02-10 04:41:08,Enterprise,0,1,Angry
114,Password reset link not working,Password reset link not working. This is very upsetting. This issue is impacting my work.,email,Login,Medium,2026-02-07 17:41:08,Free,0,0,Angry
115,Unable to login with my account,Unable to login with my account. This is getting frustrating. This issue is impacting my work.,chat,Login,High,2026-01-24 19:41:08,Enterprise,0,0,Frustrated
116,Getting invalid credentials error,Getting invalid credentials error. Please assist with this issue. This issue is impacting my work.,web,Login,High,2026-01-21 20:41:08,Pro,0,0,Calm
117,Unable to login with my account,Unable to login with my account. I have faced this issue multiple times. This issue is impacting my work.,chat,Login,Medium,2026-01-27 03:41:08,Free,0,0,Frustrated
118,Password reset link not working,Password reset link not working. This is completely unacceptable. This issue is impacting my work.,email,Login,Medium,2026-01-19 01:41:08,Free,0,0,Angry
119,Getting invalid credentials error,Getting invalid credentials error. This needs immediate attention. This issue is impacting my work.,web,Login,High,2026-01-21 22:41:08,Pro,0,0,Urgent
120,Getting invalid credentials error,Getting invalid credentials error. Great service so far. This issue is impacting my work.,chat,Login,High,2026-01-25 09:41:08,Free,0,0,Appreciative
121,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,email,Login,High,2026-02-05 13:41:08,Free,0,0,Angry
122,Unable to login with my account,Unable to login with my account. This is very upsetting. This issue is impacting my work.,email,Login,Medium,2026-01-27 14:41:08,Pro,0,0,Angry
123,Account locked after multiple attempts,Account locked after multiple attempts. This is completely unacceptable. This issue is impacting my work.,web,Login,High,2026-02-10 19:41:08,Pro,0,0,Angry
124,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,web,Login,High,2026-01-17 05:41:08,Free,0,0,Urgent
125,Getting invalid credentials error,Getting invalid credentials error. This is blocking critical work. This issue is impacting my work.,chat,Login,High,2026-01-13 22:41:08,Enterprise,0,1,Urgent
126,Unable to login with my account,Unable to login with my account. This needs immediate attention. This issue is impacting my work.,chat,Login,High,2026-02-09 22:41:08,Pro,0,0,Urgent
127,Unable to login with my account,Unable to login with my account. Really appreciate your quick help. This issue is impacting my work.,email,Login,High,2026-01-27 23:41:08,Free,0,0,Appreciative
128,Account locked after multiple attempts,Account locked after multiple attempts. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-02-09 01:41:08,Enterprise,0,1,Urgent
129,Account locked after multiple attempts,Account locked after multiple attempts. This needs immediate attention. This issue is impacting my work.,web,Login,Medium,2026-01-19 03:41:08,Enterprise,0,1,Urgent
130,Password reset link not working,Password reset link not working. This is very upsetting. This issue is impacting my work.,web,Login,Medium,2026-02-11 03:41:08,Pro,0,0,Angry
131,Unable to login with my account,Unable to login with my account. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-02-03 18:41:08,Enterprise,0,1,Urgent
132,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,email,Login,High,2026-01-27 06:41:08,Pro,0,0,Urgent
133,Account locked after multiple attempts,Account locked after multiple attempts. Not satisfied with the delay. This issue is impacting my work.,email,Login,Medium,2026-01-19 21:41:08,Pro,0,0,Frustrated
134,Getting invalid credentials error,Getting invalid credentials error. Really appreciate your quick help. This issue is impacting my work.,chat,Login,Medium,2026-02-03 16:41:08,Enterprise,0,0,Appreciative
135,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,chat,Login,High,2026-01-26 17:41:08,Pro,0,0,Frustrated
136,Account locked after multiple attempts,Account locked after multiple attempts. Please resolve this urgently. This issue is impacting my work.,web,Login,Medium,2026-01-25 22:41:08,Free,0,0,Urgent
137,Password reset link not working,Password reset link not working. This needs immediate attention. This issue is impacting my work.,web,Login,High,2026-01-21 22:41:08,Pro,0,0,Urgent
138,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,email,Login,Medium,2026-01-13 16:41:08,Enterprise,0,0,Frustrated
139,Getting invalid credentials error,Getting invalid credentials error. Looking forward to your response. This issue is impacting my work.,web,Login,Medium,2026-02-12 11:41:08,Pro,0,0,Calm
140,Password reset link not working,Password reset link not working. This is blocking critical work. This issue is impacting my work.,email,Login,Medium,2026-01-19 02:41:08,Pro,0,0,Urgent
141,Getting invalid credentials error,Getting invalid credentials error. Great service so far. This issue is impacting my work.,web,Login,High,2026-01-17 00:41:08,Free,0,0,Appreciative
142,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,web,Login,High,2026-01-25 08:41:08,Free,0,0,Angry
143,Password reset link not working,Password reset link not working. This is completely unacceptable. This issue is impacting my work.,chat,Login,Medium,2026-01-19 14:41:08,Free,0,0,Angry
144,Unable to login with my account,Unable to login with my account. This needs immediate attention. This issue is impacting my work.,email,Login,High,2026-02-03 09:41:08,Free,0,0,Urgent
145,Getting invalid credentials error,Getting invalid credentials error. I am extremely disappointed. This issue is impacting my work.,email,Login,High,2026-01-27 21:41:08,Free,0,0,Angry
146,Password reset link not working,Password reset link not working. This is getting frustrating. This issue is impacting my work.,web,Login,Medium,2026-01-24 13:41:08,Pro,0,0,Frustrated
147,Password reset link not working,Password reset link not working. This is blocking critical work. This issue is impacting my work.,email,Login,Medium,2026-01-24 02:41:08,Pro,0,0,Urgent
148,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,chat,Login,Medium,2026-01-22 17:41:08,Pro,0,0,Angry
149,Password reset link not working,Password reset link not working. Looking forward to your response. This issue is impacting my work.,web,Login,High,2026-01-23 21:41:08,Pro,0,0,Calm
150,Getting invalid credentials error,Getting invalid credentials error. Please resolve this urgently. This issue is impacting my work.,chat,Login,Medium,2026-02-10 03:41:08,Pro,0,0,Urgent
151,Account locked after multiple attempts,Account locked after multiple attempts. Really appreciate your quick help. This issue is impacting my work.,web,Login,High,2026-02-12 13:41:08,Pro,0,0,Appreciative
152,Account locked after multiple attempts,Account locked after multiple attempts. This is completely unacceptable. This issue is impacting my work.,web,Login,Medium,2026-01-29 01:41:08,Enterprise,0,1,Angry
153,Password reset link not working,Password reset link not working. Really appreciate your quick help. This issue is impacting my work.,web,Login,Medium,2026-01-25 02:41:08,Free,0,0,Appreciative
154,Password reset link not working,Password reset link not working. Kindly check and update. This issue is impacting my work.,chat,Login,Medium,2026-02-11 16:41:08,Pro,0,0,Calm
155,Getting invalid credentials error,Getting invalid credentials error. This is getting frustrating. This issue is impacting my work.,chat,Login,High,2026-01-31 05:41:08,Enterprise,0,0,Frustrated
156,Password reset link not working,Password reset link not working. Not satisfied with the delay. This issue is impacting my work.,web,Login,High,2026-01-15 02:41:08,Enterprise,0,0,Frustrated
157,Password reset link not working,Password reset link not working. I am extremely disappointed. This issue is impacting my work.,web,Login,High,2026-01-19 07:41:08,Pro,0,0,Angry
158,Account locked after multiple attempts,Account locked after multiple attempts. Please assist with this issue. This issue is impacting my work.,web,Login,Medium,2026-01-22 22:41:08,Enterprise,0,0,Calm
159,Getting invalid credentials error,Getting invalid credentials error. Looking forward to your response. This issue is impacting my work.,chat,Login,Medium,2026-02-09 20:41:08,Enterprise,0,0,Calm
160,Getting invalid credentials error,Getting invalid credentials error. This is very upsetting. This issue is impacting my work.,web,Login,High,2026-02-09 13:41:08,Pro,0,0,Angry
161,Password reset link not working,Password reset link not working. This needs immediate attention. This issue is impacting my work.,web,Login,High,2026-01-24 08:41:08,Free,0,0,Urgent
162,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,email,Login,High,2026-02-12 09:41:08,Free,0,0,Angry
163,Getting invalid credentials error,Getting invalid credentials error. This needs immediate attention. This issue is impacting my work.,email,Login,Medium,2026-02-08 22:41:08,Enterprise,0,1,Urgent
164,Account locked after multiple attempts,Account locked after multiple attempts. This is very upsetting. This issue is impacting my work.,web,Login,High,2026-01-21 06:41:08,Enterprise,0,1,Angry
165,Account locked after multiple attempts,Account locked after multiple attempts. Looking forward to your response. This issue is impacting my work.,chat,Login,High,2026-01-21 23:41:08,Free,0,0,Calm
166,Password reset link not working,Password reset link not working. Please resolve this urgently. This issue is impacting my work.,chat,Login,Medium,2026-01-22 23:41:08,Free,0,0,Urgent
167,Getting invalid credentials error,Getting invalid credentials error. Looking forward to your response. This issue is impacting my work.,email,Login,High,2026-01-13 20:41:08,Free,0,0,Calm
168,Unable to login with my account,Unable to login with my account. Not satisfied with the delay. This issue is impacting my work.,email,Login,Medium,2026-02-06 06:41:08,Pro,0,0,Frustrated
169,Password reset link not working,Password reset link not working. Kindly check and update. This issue is impacting my work.,web,Login,Medium,2026-01-18 03:41:08,Free,0,0,Calm
170,Getting invalid credentials error,Getting invalid credentials error. Not satisfied with the delay. This issue is impacting my work.,chat,Login,Medium,2026-02-08 17:41:08,Free,0,0,Frustrated
171,Getting invalid credentials error,Getting invalid credentials error. This is getting frustrating. This issue is impacting my work.,email,Login,Medium,2026-02-02 03:41:08,Free,0,0,Frustrated
172,Getting invalid credentials error,Getting invalid credentials error. Please assist with this issue. This issue is impacting my work.,email,Login,High,2026-01-20 21:41:08,Free,0,0,Calm
173,Unable to login with my account,Unable to login with my account. Looking forward to your response. This issue is impacting my work.,chat,Login,High,2026-01-26 07:41:08,Enterprise,0,0,Calm
174,Account locked after multiple attempts,Account locked after multiple attempts. Thank you for your continued support. This issue is impacting my work.,web,Login,Medium,2026-01-28 01:41:08,Enterprise,0,0,Appreciative
175,Account locked after multiple attempts,Account locked after multiple attempts. Please assist with this issue. This issue is impacting my work.,chat,Login,High,2026-01-23 07:41:08,Pro,0,0,Calm
176,Account locked after multiple attempts,Account locked after multiple attempts. This needs immediate attention. This issue is impacting my work.,chat,Login,Medium,2026-02-09 08:41:08,Enterprise,0,1,Urgent
177,Password reset link not working,Password reset link not working. This is very upsetting. This issue is impacting my work.,chat,Login,High,2026-01-28 01:41:08,Enterprise,0,1,Angry
178,Account locked after multiple attempts,Account locked after multiple attempts. Great service so far. This issue is impacting my work.,email,Login,High,2026-02-09 14:41:08,Enterprise,0,0,Appreciative
179,Password reset link not working,Password reset link not working. Please resolve this urgently. This issue is impacting my work.,chat,Login,Medium,2026-01-17 20:41:08,Pro,0,0,Urgent
180,Account locked after multiple attempts,Account locked after multiple attempts. This is blocking critical work. This issue is impacting my work.,chat,Login,Medium,2026-02-02 13:41:08,Pro,0,0,Urgent
