ticket_id,subject,description,channel,category,priority,created_at,customer_plan,sla_breached,escalated,combined_text,clean_text,clean_text_length
11,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-10 07:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
12,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-10 23:53:16,Enterprise,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
13,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-16 02:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
14,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-30 05:53:16,Enterprise,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
15,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-14 17:53:16,Enterprise,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
16,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-11 09:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
17,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-30 16:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
18,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-24 14:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
19,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-29 11:53:16,Free,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
20,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-26 03:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
21,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-10 07:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
22,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-18 08:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
23,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-21 02:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
24,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-13 02:53:16,Enterprise,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
25,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-31 20:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
26,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-21 07:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
27,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-13 05:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
28,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-02-02 23:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
29,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-08 16:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
30,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-11 08:53:16,Pro,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
31,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-06 17:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
32,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-24 04:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
33,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-16 23:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
34,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-30 08:53:16,Free,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
35,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-29 16:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
36,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-17 09:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
37,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-02-03 18:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
38,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-30 17:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
39,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-11 21:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
40,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-23 23:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
41,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-02-04 13:53:16,Enterprise,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
42,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-27 07:53:16,Enterprise,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
43,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-23 06:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
44,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-30 08:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
45,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-20 10:53:16,Enterprise,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
46,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-21 19:53:16,Pro,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
47,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-25 10:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
48,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-23 12:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
49,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-31 09:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
50,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-18 19:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
51,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-10 05:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
52,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-25 07:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
53,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-23 13:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
54,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-15 00:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
55,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-15 14:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
56,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-02-05 20:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
57,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-21 02:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
58,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-26 01:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
59,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-27 15:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
60,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-07 06:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
61,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-20 06:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
62,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-15 00:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
63,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-29 09:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
64,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-02-06 00:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
65,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-22 17:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
66,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-06 12:53:16,Free,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
67,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-20 06:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
68,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-26 09:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
69,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-16 07:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
70,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-02-02 03:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
71,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-31 11:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
72,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,High,2026-01-12 03:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
73,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-25 09:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
74,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-26 01:53:16,Pro,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
75,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-01-30 22:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
76,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-25 14:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
77,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-09 02:53:16,Free,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
78,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-17 21:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
79,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-01-21 07:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
80,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-14 21:53:16,Free,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
81,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-02-03 13:53:16,Pro,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
